image_id,label,fold
sample000002.png,10,3
sample000003.png,9,1
sample000004.png,1,1
sample000005.png,9,4
sample000007.png,9,0
sample000011.png,4,3
sample000012.png,3,4
sample000013.png,7,0
sample000017.png,0,4
sample000018.png,3,4
sample000019.png,12,3
sample000021.png,8,2
sample000022.png,10,2
sample000023.png,4,3
sample000024.png,7,3
sample000025.png,6,2
sample000026.png,0,0
sample000027.png,2,3
sample000028.png,0,0
sample000031.png,9,0
sample000032.png,11,3
sample000033.png,1,3
sample000034.png,8,2
sample000035.png,2,2
sample000036.png,8,4
sample000037.png,8,1
sample000039.png,12,1
sample000041.png,7,2
sample000042.png,12,1
sample000043.png,0,2
sample000044.png,8,3
sample000045.png,0,0
sample000047.png,0,3
sample000049.png,9,2
sample000052.png,1,0
sample000054.png,9,2
sample000056.png,4,4
sample000057.png,4,1
sample000060.png,0,3
sample000061.png,9,1
sample000062.png,0,0
sample000063.png,2,4
sample000066.png,8,4
sample000068.png,11,0
sample000073.png,9,0
sample000074.png,9,4
sample000075.png,8,1
sample000077.png,0,3
sample000079.png,0,4
sample000080.png,12,3
sample000081.png,3,1
sample000082.png,7,3
sample000084.png,7,2
sample000087.png,0,1
sample000088.png,2,1
sample000093.png,0,2
sample000094.png,9,0
sample000096.png,12,4
sample000098.png,9,3
sample000100.png,7,4
sample000101.png,9,2
sample000103.png,1,3
sample000105.png,7,1
sample000106.png,10,3
sample000107.png,3,4
sample000108.png,9,4
sample000111.png,4,2
sample000112.png,7,4
sample000113.png,12,4
sample000114.png,9,3
sample000116.png,9,4
sample000117.png,1,1
sample000118.png,9,4
sample000120.png,2,4
sample000121.png,3,3
sample000122.png,0,3
sample000123.png,12,2
sample000124.png,8,3
sample000125.png,1,0
sample000131.png,7,2
sample000132.png,12,0
sample000133.png,12,3
sample000138.png,0,2
sample000140.png,9,0
sample000141.png,0,0
sample000145.png,12,2
sample000146.png,2,1
sample000149.png,9,1
sample000150.png,8,2
sample000152.png,4,2
sample000155.png,9,2
sample000156.png,3,2
sample000157.png,6,1
sample000158.png,7,1
sample000159.png,9,1
sample000162.png,8,0
sample000163.png,1,2
sample000164.png,8,1
sample000166.png,9,3
sample000168.png,1,2
sample000169.png,9,2
sample000171.png,3,1
sample000172.png,0,0
sample000173.png,1,4
sample000174.png,8,2
sample000177.png,8,0
sample000178.png,10,4
sample000179.png,8,2
sample000181.png,12,4
sample000182.png,1,0
sample000183.png,11,3
sample000185.png,0,1
sample000188.png,0,4
sample000189.png,9,3
sample000190.png,2,3
sample000191.png,3,4
sample000193.png,9,4
sample000194.png,3,4
sample000196.png,12,2
sample000200.png,1,0
sample000201.png,9,3
sample000202.png,8,3
sample000203.png,12,1
sample000204.png,12,3
sample000205.png,8,2
sample000206.png,9,0
sample000208.png,9,0
sample000209.png,9,0
sample000213.png,0,0
sample000214.png,4,2
sample000215.png,12,1
sample000216.png,0,3
sample000217.png,0,4
sample000218.png,1,3
sample000219.png,9,0
sample000220.png,1,3
sample000222.png,11,0
sample000223.png,2,3
sample000224.png,9,4
sample000225.png,0,0
sample000226.png,0,0
sample000227.png,8,3
sample000228.png,7,3
sample000230.png,9,3
sample000233.png,11,4
sample000235.png,12,1
sample000238.png,1,0
sample000239.png,7,2
sample000240.png,12,4
sample000241.png,8,2
sample000242.png,0,3
sample000243.png,1,2
sample000245.png,3,2
sample000246.png,1,0
sample000247.png,8,3
sample000248.png,0,0
sample000249.png,8,4
sample000250.png,9,2
sample000251.png,11,4
sample000252.png,0,1
sample000253.png,9,1
sample000255.png,1,3
sample000256.png,12,1
sample000257.png,8,1
sample000259.png,12,2
sample000261.png,11,2
sample000262.png,4,2
sample000264.png,0,1
sample000265.png,0,1
sample000266.png,8,0
sample000267.png,0,3
sample000269.png,0,2
sample000272.png,1,0
sample000273.png,8,1
sample000274.png,8,0
sample000275.png,4,3
sample000279.png,6,4
sample000280.png,8,1
sample000281.png,9,2
sample000282.png,9,2
sample000283.png,10,2
sample000285.png,0,3
sample000286.png,12,4
sample000287.png,8,3
sample000288.png,0,2
sample000292.png,0,1
sample000293.png,12,3
sample000294.png,9,2
sample000295.png,12,1
sample000296.png,0,3
sample000297.png,3,4
sample000301.png,0,2
sample000302.png,1,3
sample000303.png,6,4
sample000304.png,10,3
sample000305.png,3,2
sample000307.png,0,4
sample000308.png,7,0
sample000309.png,0,0
sample000310.png,9,4
sample000315.png,9,3
sample000317.png,7,0
sample000319.png,10,2
sample000320.png,1,3
sample000321.png,0,0
sample000323.png,1,1
sample000325.png,4,1
sample000326.png,0,3
sample000328.png,9,3
sample000329.png,2,0
sample000330.png,9,3
sample000331.png,0,1
sample000333.png,2,1
sample000334.png,0,2
sample000335.png,0,2
sample000337.png,12,4
sample000338.png,8,3
sample000339.png,0,1
sample000342.png,8,1
sample000343.png,8,2
sample000346.png,0,0
sample000347.png,0,2
sample000348.png,9,1
sample000351.png,9,0
sample000352.png,9,3
sample000353.png,9,3
sample000355.png,12,1
sample000356.png,4,2
sample000358.png,8,0
sample000359.png,8,1
sample000363.png,3,1
sample000366.png,8,3
sample000368.png,9,1
sample000370.png,9,4
sample000371.png,4,4
sample000372.png,12,3
sample000373.png,0,3
sample000374.png,6,1
sample000376.png,9,2
sample000377.png,7,2
sample000378.png,6,3
sample000379.png,8,4
sample000380.png,0,3
sample000381.png,7,0
sample000383.png,9,3
sample000384.png,1,0
sample000385.png,0,4
sample000386.png,8,0
sample000388.png,12,4
sample000389.png,2,2
sample000391.png,8,0
sample000392.png,9,1
sample000394.png,8,0
sample000395.png,9,3
sample000396.png,9,3
sample000397.png,0,2
sample000398.png,0,1
sample000400.png,9,0
sample000401.png,4,1
sample000402.png,7,1
sample000403.png,5,0
sample000404.png,9,0
sample000405.png,4,3
sample000407.png,9,0
sample000409.png,9,1
sample000412.png,8,1
sample000413.png,3,4
sample000414.png,8,1
sample000416.png,9,3
sample000417.png,0,2
sample000418.png,0,2
sample000419.png,3,3
sample000421.png,7,4
sample000427.png,3,4
sample000430.png,9,1
sample000431.png,8,4
sample000432.png,0,3
sample000433.png,0,0
sample000434.png,10,2
sample000435.png,3,1
sample000436.png,10,2
sample000437.png,12,4
sample000438.png,10,3
sample000440.png,8,1
sample000443.png,9,2
sample000444.png,9,4
sample000445.png,9,0
sample000447.png,9,2
sample000449.png,1,2
sample000452.png,9,3
sample000455.png,10,3
sample000456.png,0,2
sample000457.png,12,2
sample000458.png,9,0
sample000459.png,1,1
sample000461.png,12,4
sample000463.png,9,0
sample000465.png,1,2
sample000467.png,8,1
sample000468.png,9,3
sample000470.png,4,4
sample000471.png,8,2
sample000472.png,0,0
sample000473.png,8,1
sample000474.png,3,1
sample000475.png,8,1
sample000476.png,9,0
sample000477.png,7,2
sample000479.png,3,4
sample000481.png,4,2
sample000482.png,9,0
sample000483.png,0,3
sample000484.png,4,1
sample000486.png,9,1
sample000487.png,6,4
sample000488.png,9,3
sample000489.png,9,2
sample000490.png,1,4
sample000492.png,7,0
sample000494.png,4,1
sample000495.png,9,1
sample000496.png,9,1
sample000498.png,9,4
sample000502.png,6,4
sample000503.png,8,3
sample000504.png,8,4
sample000505.png,9,1
sample000506.png,1,1
sample000508.png,0,1
sample000509.png,9,3
sample000510.png,8,1
sample000511.png,7,3
sample000513.png,0,3
sample000514.png,8,3
sample000515.png,9,0
sample000516.png,9,3
sample000517.png,7,3
sample000518.png,7,0
sample000519.png,3,2
sample000520.png,9,3
sample000521.png,6,0
sample000523.png,8,4
sample000524.png,9,1
sample000525.png,9,4
sample000528.png,1,2
sample000530.png,9,3
sample000533.png,12,4
sample000535.png,9,0
sample000536.png,9,4
sample000540.png,9,4
sample000541.png,2,3
sample000544.png,5,3
sample000546.png,0,2
sample000547.png,9,4
sample000549.png,7,1
sample000551.png,8,2
sample000552.png,9,4
sample000553.png,9,2
sample000554.png,0,3
sample000555.png,6,2
sample000559.png,9,4
sample000563.png,11,3
sample000564.png,9,4
sample000566.png,0,2
sample000567.png,9,0
sample000568.png,4,1
sample000569.png,9,3
sample000570.png,2,4
sample000573.png,0,3
sample000575.png,12,4
sample000578.png,8,2
sample000581.png,8,2
sample000582.png,12,4
sample000583.png,6,0
sample000584.png,9,0
sample000587.png,0,1
sample000589.png,6,1
sample000590.png,2,3
sample000591.png,12,4
sample000592.png,1,0
sample000594.png,12,1
sample000595.png,3,4
sample000596.png,12,1
sample000598.png,1,2
sample000599.png,0,4
sample000600.png,7,2
sample000601.png,1,3
sample000603.png,6,2
sample000604.png,0,3
sample000606.png,1,0
sample000608.png,1,4
sample000609.png,0,0
sample000610.png,0,3
sample000612.png,0,0
sample000613.png,0,4
sample000614.png,10,4
sample000617.png,5,0
sample000618.png,5,1
sample000620.png,1,1
sample000622.png,0,4
sample000623.png,3,0
sample000624.png,0,3
sample000625.png,9,2
sample000627.png,1,0
sample000629.png,6,2
sample000630.png,7,2
sample000632.png,4,0
sample000637.png,12,3
sample000638.png,6,3
sample000640.png,4,0
sample000642.png,3,0
sample000643.png,9,4
sample000644.png,0,0
sample000645.png,12,1
sample000647.png,1,1
sample000648.png,9,3
sample000650.png,9,4
sample000651.png,4,1
sample000654.png,7,3
sample000658.png,0,3
sample000659.png,9,3
sample000660.png,6,0
sample000662.png,2,4
sample000663.png,7,1
sample000664.png,8,3
sample000665.png,12,4
sample000668.png,0,1
sample000669.png,0,3
sample000671.png,7,4
sample000672.png,9,2
sample000674.png,12,0
sample000677.png,1,3
sample000679.png,2,0
sample000681.png,8,3
sample000682.png,9,0
sample000683.png,1,2
sample000685.png,12,0
sample000686.png,6,0
sample000691.png,0,4
sample000694.png,10,0
sample000695.png,4,1
sample000696.png,8,3
