image_id,class,fold
handwritten_arab_001_001_001.png,Arabic,2
handwritten_arab_001_001_002.png,Arabic,3
handwritten_arab_001_002_001.png,Arabic,3
handwritten_arab_001_002_002.png,Arabic,3
handwritten_arab_001_002_003.png,Arabic,2
handwritten_arab_001_002_004.png,Arabic,1
handwritten_arab_001_002_005.png,Arabic,2
handwritten_arab_001_002_006.png,Arabic,3
handwritten_arab_001_003_001.png,Arabic,1
handwritten_arab_001_003_002.png,Arabic,0
handwritten_arab_001_003_003.png,Arabic,3
handwritten_arab_001_003_004.png,Arabic,3
handwritten_arab_001_003_005.png,Arabic,2
handwritten_arab_001_003_006.png,Arabic,2
handwritten_arab_001_003_007.png,Arabic,3
handwritten_arab_001_004_001.png,Arabic,1
handwritten_arab_001_004_002.png,Arabic,0
handwritten_arab_001_004_003.png,Arabic,4
handwritten_arab_001_004_004.png,Arabic,4
handwritten_arab_001_004_005.png,Arabic,0
handwritten_arab_001_005_001.png,Arabic,3
handwritten_arab_001_005_002.png,Arabic,4
handwritten_arab_001_005_003.png,Arabic,3
handwritten_arab_001_005_004.png,Arabic,0
handwritten_arab_001_005_005.png,Arabic,1
handwritten_arab_001_005_006.png,Arabic,2
handwritten_arab_001_005_007.png,Arabic,3
handwritten_arab_001_005_008.png,Arabic,4
handwritten_arab_001_006_001.png,Arabic,1
handwritten_arab_001_006_002.png,Arabic,1
handwritten_arab_001_006_003.png,Arabic,3
handwritten_arab_001_006_004.png,Arabic,4
handwritten_arab_001_006_005.png,Arabic,4
handwritten_arab_001_007_001.png,Arabic,1
handwritten_arab_001_007_002.png,Arabic,2
handwritten_arab_001_007_003.png,Arabic,1
handwritten_arab_001_007_004.png,Arabic,4
handwritten_arab_001_007_005.png,Arabic,2
handwritten_arab_001_007_006.png,Arabic,3
handwritten_arab_001_007_007.png,Arabic,0
handwritten_arab_001_008_001.png,Arabic,0
handwritten_arab_001_009_001.png,Arabic,2
handwritten_arab_001_009_002.png,Arabic,0
handwritten_arab_001_009_003.png,Arabic,0
handwritten_arab_001_009_004.png,Arabic,0
handwritten_arab_001_009_005.png,Arabic,2
handwritten_arab_001_009_006.png,Arabic,1
handwritten_arab_001_009_007.png,Arabic,1
handwritten_arab_001_009_008.png,Arabic,1
handwritten_arab_001_010_001.png,Arabic,0
handwritten_arab_001_010_002.png,Arabic,1
handwritten_arab_001_010_003.png,Arabic,4
handwritten_arab_001_010_004.png,Arabic,1
handwritten_arab_001_010_005.png,Arabic,4
handwritten_arab_001_010_006.png,Arabic,4
handwritten_arab_001_010_007.png,Arabic,1
handwritten_arab_001_011_001.png,Arabic,0
handwritten_arab_001_011_002.png,Arabic,0
handwritten_arab_001_011_003.png,Arabic,3
handwritten_arab_001_011_004.png,Arabic,3
handwritten_arab_001_011_005.png,Arabic,3
handwritten_arab_001_011_006.png,Arabic,4
handwritten_arab_001_011_007.png,Arabic,1
handwritten_arab_001_012_001.png,Arabic,2
handwritten_arab_001_012_002.png,Arabic,3
